Date,Incident Narrative,Ground Truth
3/18/24,"For three consecutive days, fierce fighting has raged between the Sudanese army and the Rapid Support Forces (RSF) in Babanusa, West Kordofan.  The RSF reportedly besieged the headquarters of the army’s 22nd Infantry Division and the 89th Haggana Brigade. The Sudanese army fiercely defended its position using ground forces and military aircraft. The battle resulted in significant losses for the RSF and numerous civilian deaths and injuries, according to local sources. The ongoing clashes have left a trail of civilian casualties and threaten a humanitarian crisis.","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Willful killing of civilians,  Movement of military,  paramilitary,  or other troops and equipment"
3/18/24,"On March 18, The Sudanese army repelled an attack of the RSF  in Al-Faw, Gedaref state. Besides this front, battles continue  in Khartoum North and West Kordofan. The Army claimed to have have destroyed and captured several RSF vehicles, and killed dozens of attackers. Two Army soldiers were also killed.","Military operations (battle,  shelling)"
3/18/24,"On March 18,  violents clashes opposed the Sudanese Army and the RSF in the morning near the Signal Corps. Heavy gunfire and explosions rocked Khartoum Bahri as the Army bombarded RSF positions with artillery from Omdurman. Military sources claim Army aircraft and artillery thwarted the RSF attack. The RSF reportedly withdrew some forces north to Halfaya suburb while sustaining vehicle losses. The Sudanese army later issued a statement saying its forces repelled the attack, destroying RSF vehicles, seizing two tanks, and killing dozens of RSF members.","Military operations (battle,  shelling),  Movement of military,  paramilitary,  or other troops and equipment"
3/18/24,Local sources reported Sudanese Air Force raids on RSF positions near El Fasher on Monday morning. The RSF responded with anti-aircraft fire and shelled the main market and army headquarters in El Fasher.,"Military operations (battle,  shelling),  Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons"
3/19/24,"On March 19, late in the night,  the Sudanese military aircraft launched airstrikes late Tuesday night in North Darfur, targeting El Fasher, Kabkabiya, and Badia al-Zarq, near the borders with Chad and Libya. Strikes within El Fasher targeted the Al-Jabal, Al-Usra, and Al-Jama’a neighbourhoods near factories known as RSF strongholds. They also targeted Kabkabiya and Badia al-Zarq localities.
In response, the RSF unleashed intense anti-aircraft fire.","Military operations (battle,  shelling),  Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons"
3/22/24,"The UN has been receiving increasing reports of trafficking in persons, especially women and girls, for purposes of sexual exploitation and sexual slavery, child and forced marriage, and the recruitment of boys for participation in hostilities in Sudan. “We are appalled by reports of women and girls being sold at slave markets in areas controlled by RSF forces and other armed groups, including in North Darfur,” the UN experts said. The experts also expressed concern about the increase in child, early and forced marriage, reportedly a result of family separation, and gender-based violence, including rape and unwanted pregnancies.","Enslavement,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation,  Kidnapping"
3/22/24,"A Sudanese military airstrike on Friday tragically killed three civilians, including two children, and injured four others in West Kordofan state. The strike targeted the town of Shuaa, 10 kilometres north of Babanusa, a region already affected by intense fighting between the army and the Rapid Support Forces (RSF).","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Willful killing of civilians"
3/25/24,"The Secretary of Freedoms at the Sudanese Journalists Union, Iman Fadl Al-Sayyid, has said that 360 cases of violations against journalists have been documented, with 90 percent of media institutions in Sudan destroyed.She told Radio Tamazuj that Journalists have been subjected to harassment daily by the belligerents since the outbreak of the war. ","Violent crackdowns on protesters/opponents/civil rights abuse,  Damage or destruction of civilian critical infrastructure"
3/25/24,"In the morning of March 25, the Sudanese army conducted several airstrikes in El Fasher and Kutum town in North Darfur.  The El Fasher Resistance Committees reported that “the warplanes launched air strikes on various parts of El Fasher, on the El Wifag neighbourhood in the north, El Masnaa in the east, and Sharg El Wehda in the south, which led to the destruction of homes and factories, and the displacement of people living in El Wifag”. At least 9 civilians were killed and 14 others injured, including children, as a result of the airstrikes in El Fasher. An undetermined number of RSF fighters, stationed in the Northern and Eastern parts of the city, were also, reportedly, killed. The day before,  the Sudanese Air Force  launched similar airstrikes on RSF positions at the Halouf Gate in the north of El Fasher.","Indiscriminate use of weapons,  Willful killing of civilians,  Damage or destruction of civilian critical infrastructure"
3/26/24,"The Sudanese army continued its offensive in western Omdurman and seized control of the Doha neighbourhood and some areas near Souk Libya area, the city’s largest market. After two months of intense fighting, the army regained most of old Omdurman from the rival Rapid Support Forces (RSF).","Military operations (battle,  shelling),  Movement of military,  paramilitary,  or other troops and equipment"
3/27/24,"The RSF detained three of these trucks in (the RSF-controlled) eastern El Fasher. A North Darfur state government official on Wednesday accused the Rapid Support Forces (RSF) of detaining trucks carrying critical aid for malnourished children in El Fasher, the state","Damage or destruction,  looting,  or theft of cultural heritage "
